timestamp,Basel Temperature [2 m elevation corrected],Basel Soil Moisture [0-10 cm down]
20220121T0600,-2.0894713,0.268
20220121T0700,-2.4894714,0.268
20220121T0800,-2.4694715,0.268
20220121T0900,-1.4494714,0.268
20220121T1000,-0.58947134,0.267
20220121T1100,0.08052866,0.267
20220121T1200,4.2005286,0.27
20220121T1300,5.9505286,0.269
20220121T1400,5.8305287,0.269
20220121T1500,3.3605285,0.269
20220121T1600,2.8705285,0.268
20220121T1700,1.7505287,0.268
20220121T1800,0.48052865,0.268
20220121T1900,0.09052865,0.268
20220121T2000,0.29052866,0.267
20220121T2100,0.49052867,0.267
20220121T2200,0.6405287,0.267
20220121T2300,0.6905287,0.267
20220122T0000,0.54052866,0.267
20220122T0100,0.49052867,0.267
20220122T0200,-0.10947134,0.267
20220122T0300,-0.30947134,0.268
20220122T0400,-0.019471344,0.267
20220122T0500,-0.41947132,0.267
20220122T0600,-0.42947134,0.267
20220122T0700,-0.10947134,0.267
20220122T0800,0.81052864,0.267
20220122T0900,1.9205287,0.267
20220122T1000,3.3805285,0.267
20220122T1100,4.1505284,0.267
20220122T1200,3.1105285,0.273
20220122T1300,3.9705286,0.273
20220122T1400,4.6005287,0.272
20220122T1500,4.8105288,0.271
20220122T1600,4.5105286,0.271
20220122T1700,3.7805285,0.271
20220122T1800,2.9405286,0.27
20220122T1900,2.1805286,0.27
20220122T2000,1.9105287,0.27
20220122T2100,1.8705287,0.27
20220122T2200,1.7105286,0.27
20220122T2300,1.4505286,0.27
20220123T0000,1.0305287,0.27
20220123T0100,0.8305287,0.27
20220123T0200,0.5705287,0.27
20220123T0300,0.29052866,0.271
20220123T0400,0.28052866,0.271
20220123T0500,0.050528657,0.27
20220123T0600,-0.34947133,0.27
20220123T0700,-0.5394713,0.27
20220123T0800,0.43052867,0.27
20220123T0900,1.8205286,0.27
20220123T1000,3.3305285,0.27
20220123T1100,4.4905286,0.27
20220123T1200,5.790529,0.276
20220123T1300,6.1905284,0.276
20220123T1400,6.1305285,0.275
20220123T1500,5.8505287,0.274
